ID,Ministry,Department,Agency,Lat,Long,Address
1.11E+11,Ministry of Defence,Naval Medical Department,Royal Thai Army Phramongkutklao Hospital,13.76733,100.5342,"Thung Phaya Thai Subdistrict, Ratchathewi District, Bangkok 10400"
1.11E+11,Ministry of Justice,Department of Corrections,Department of Corrections Correctional Institutes Correctional Hospital,13.85018,100.5531,"Ladyao Subdistrict, Chatuchak District, Bangkok 10900"
1.11E+11,Royal Thai Police,Police Hospial,Police Hospital,13.74414,100.5391,"Pathumwan, Pathumwan, Bangkok 10330"
1.13E+11,Ministry of Defence,Naval Medical Department,Royal Thai Army Ananda Mahidol Hospital,14.84966,100.667,"Khao Sam Yot Subdistrict, Mueang Lopburi District, Lopburi 15000"
1.13E+11,Ministry of Public Health,Department of Mental Health,"Department of Mental Health, Srithanya Hospital",13.84513,100.5171,"Talat Khwan Subdistrict, Mueang Nonthaburi District, Nonthaburi 11000"
1.14E+11,Ministry of Public Health,Department of Medical Services,"Department of Medical Services, Sangha Hospital",13.76185,100.5264,"Thung Phaya Thai Subdistrict, Ratchathewi District, Bangkok 10400"
1.14E+11,Ministry of Public Health,Department of Medical Services,"Department of Medical Services, Lerdsin Hospital",13.7222,100.5175,"Silom Road, Silom Subdistrict, Bangrak District, Bangkok 10500"
1.14E+11,Ministry of Public Health,Department of Medical Services,"Department of Medical Services, Nopparat Rajathanee Hospital",13.81657,100.6875,"Khanna Yao Sub-district, Khannayao District, Bangkok 10230"
1.14E+11,Ministry of Public Health,Department of Medical Services,"Department of Medical Services, Rajavithi Hospital",13.7643,100.5368,"Ratchawithi 13, Thung Phaya Thai Subdistrict, Ratchathewi District, Bangkok 10400"
1.14E+11,Ministry of Public Health,Department of Medical Services,Department of Medical Services Metta Pracharak Hospital (Wat Rai Khing),13.73943,100.2558,"Tha Talat Subdistrict, Sam Phran District, Nakhon Pathom Province 73110"
1.14E+11,Ministry of Public Health,Department of Medical Services,"Department of Medicine, Neurological Hospital, Chiang Mai Province",18.78978,98.96952,"Number 2, Suthep Road, Suthep Subdistrict, Mueang Chiang Mai District, Chiang Mai Province 50200"
1.14E+11,Ministry of Public Health,Department of Mental Health,"Department of Mental Health, Suan Prung Hospital",18.78074,98.97915,"Hai Ya Subdistrict, Mueang Chiang Mai District Chiang Mai 50100"
1.14E+11,Ministry of Public Health,Department of Mental Health,"Department of Mental Health, Yuwaprasat Vitayo Hospital",13.61444,100.5939,"61 Soi Thetsaban 19, Pak Nam Subdistrict, Mueang Samut Prakan District Samut Prakan 10270"
1.14E+11,Ministry of Public Health,Department of Mental Health,Department of Mental Health Loei Rajanagarindra Psychiatric Hospital,17.45914,101.7098,"Na An Subdistrict, Mueang Loei District, Loei Province 42000"
1.14E+11,Ministry of Public Health,Department of Mental Health,"Department of Mental Health, Sakaeo Ratchanakarin Psychiatric Hospital",13.83637,102.3738,"National Highway 3395, Nong Nam Sai Subdistrict, Watthana Nakhon District, Sa Kaeo Province 27160"
1.14E+11,Ministry of Public Health,Department of Mental Health,"Department of Mental Health, Nakhon Phanom Rajanagarindra Psychiatric Hospital",17.48536,104.7197,"At Samarot Subdistrict, Mueang Nakhon Phanom District, Nakhon Phanom Province 48000"
1.14E+11,Ministry of Public Health,Department of Mental Health,"Department of Mental Health, Nakhon Ratchasima Rajanagarindra Psychiatric Hospital",14.98408,102.1047,"Chang Phueak Road, Nai Mueang Subdistrict, Mueang Nakhon Ratchasima District, Nakhon Ratchasima Province 30000"
1.14E+11,Ministry of Public Health,Department of Mental Health,"Department of Mental Health, Nakhon Sawan Ratchanakarin Psychiatric Hospital",15.42354,100.1456,"Tha Nam Oi Subdistrict, Phayuha Khiri District, Nakhon Sawan Province 60130"
1.14E+11,Ministry of Public Health,Department of Mental Health,"Department of Mental Health, Khon Kaen Rajanagarindra Psychiatric Hospital",16.42467,102.8487,"169 Soi Kalaya, Chataphadung Road, Nai Mueang Subdistrict, Mueang Khon Kaen District, Khon Kaen Province 40000"
1.14E+11,Ministry of Public Health,Department of Mental Health,"Department of Mental Health, Songkhla Rajanagarindra Psychiatric Hospital",7.178654,100.6138,"472 Sai Buri Road, Bo Yang Subdistrict, Mueang Songkhla District, Songkhla Province 90000"
1.14E+11,Ministry of Public Health,Department of Mental Health,"Department of Mental Health, Suan Saranrom Hospital",9.108736,99.23995,"Tha Kham Phunphin, Suratthani 84130"
1.14E+11,Ministry of Public Health,Department of Mental Health,"Department of Mental Health, Phrasrimahapho Hospital",15.25027,104.8406,"212 Jangsanit Road, Nai Mueang Subdistrict, Mueang Ubon Ratchathani District Ubon Ratchathani 34000"
3.31E+11,Ministry of Public Health,Banphaeo Hospital (Public Organization),Banphaeo Hospital,13.59055,100.105,"198 Moo 1, Ban Phaeo-Phra Prathone Road, Ban Phaeo Subdistrict, Ban Phaeo District, Samut Sakhon Province 74120"
8.90E+12,Bangkok Metropolitan Administrator,Public Health Department,Public Health Service Center 20 Siam City Public Company Limited,13.74899,100.5136,Wat Debsirin Sub-district Pom Prap Sattru Phai District Bangkok 10100
8.90E+12,Bangkok Metropolitan Administrator,Public Health Department,Health Service Center 24 Bangkhen,13.84957,100.5812,"Phahonyothin Road, Ladyao Subdistrict, Chatuchak District, Bangkok 10900"
8.90E+12,Bangkok Metropolitan Administrator,Public Health Department,Health Service Center 28 Krung Thonburi,13.72047,100.5006,"Krung Thonburi Road Bang Lamphu Lang Subdistrict, Khlong San District, Bangkok 10600"
8.90E+12,Bangkok Metropolitan Administrator,Public Health Department,Health Service Center 29 Nuttanet,13.7051,100.4684,"Wutthakat 49, Bang Kho Subdistrict, Chom Thong District, Bangkok 10150"
8.90E+12,Bangkok Metropolitan Administrator,Public Health Department,Public Health Center 30 Wat Chao Am,13.77586,100.4663,Bangkhunnon 164/79 Bangkhunnon Subdistrict Bangkoknoi District Bangkok 10700
8.90E+12,Bangkok Metropolitan Administrator,Public Health Department,32 Maritintamik Health Service Center,13.6846,100.6057,"No. 91 Soi Sukhumvit 64/1 (Soi Wattana Sombat), South Phra Khanong Subdistrict, Phra Khanong District, Bangkok 10260"
8.90E+12,Bangkok Metropolitan Administrator,Public Health Department,38-Geed Health Service Center - Thong Bamphen,13.79861,100.5197,"23 Kiakkai Government Center Thawadee Road, Nakhon Chai Si Road, Dusit District, Bangkok 10300"
8.90E+12,Bangkok Metropolitan Administrator,Public Health Department,Health Service Center 39 Rat Burana,13.68093,100.5068,Rat Burana Road Rat Burana Rat Burana District Bangkok 10140
8.90E+12,Bangkok Metropolitan Administrator,Public Health Department,Health Service Center 40 Bang Khae,13.71051,100.4005,"Bang Khae Nuea Subdistrict, Bang Khae District, Bangkok 10160"
8.90E+12,Bangkok Metropolitan Administrator,Public Health Department,Public Health Service Center 45 Rom Klao,13.76027,100.7284,"361 Romklao Housing 33, Klong Songton Nun Sub-District, Lat Krabang District, Bangkok 10520"
8.90E+12,Bangkok Metropolitan Administrator,Public Health Department,Health Service Center 46 Kantarati Uthit,13.7233,100.722,"Ladkrabang, Ladkrabang, Bangkok 10520"
8.90E+12,Bangkok Metropolitan Administrator,Public Health Department,Health Service Center 47 Khlong Khwang,13.74329,100.4239,"28 Soi Bang Waek 92, Klong Kwang Subdistrict, Phasi Charoen District, Bangkok 10160"
8.90E+12,Bangkok Metropolitan Administrator,Public Health Department,Public Health Service Center 49 Chaiyaprukmala Temple,13.79493,100.4683,"271 Chaiyapruek Rd., Taling Chan Subdistrict, Taling Chan District, Bangkok 10170"
8.90E+12,Bangkok Metropolitan Administrator,Public Health Department,Public Health Service Center 58 Lom-Pimsenfakudom,13.67911,100.4958,"Suksawat 30, Bangpakok Subdistrict, Ratburana District Bangkok 10140"
8.90E+12,Bangkok Metropolitan Administrator,Public Health Department,Health Service Center 6 Women's Cultural Club,13.75926,100.5168,"Soi Phitsanulok 1, Mahanak Intersection Subdistrict, Dusit District, Bangkok 10300"
8.90E+12,Bangkok Metropolitan Administrator,Public Health Department,Health Service Center 65 Treatment Suk Bang Bon,13.64279,100.3785,"Ekachai 121, Bang Bon Subdistrict, Bang Bon District, Bangkok 10150"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Prasuk Health Promoting Hospital Singburi Province,15.04157,100.3188,"Moo 3, Prasuk Subdistrict, Inburi District, Singburi Province 16110"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",OTOM Health Promoting Hospital Ang Thong Province,14.5742,100.2371,"Moo 6, Tambon Subdistrict, Samko District, Ang Thong Province 14160"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Mae Ai Hospital Chiang Mai Province,20.03843,99.3026,"191 Moo 8, Fang-Thaton Road, Moo 8, Mae Ai Sub-district, Mae Ai District, Chiang Mai Province 50280"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Ang Thong Hospital Ang Thong Province,14.58469,100.4519,"3 Thetsaban Road, Bang Kaeo Subdistrict, Mueang Ang Thong District, Ang Thong Province 14000"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Phahon Phol Payuhasena Hospital Kanchanaburi,14.00504,99.5467,"572/1 Moo 3, Pakprak Subdistrict, Mueang Kanchanaburi District, Kanchanaburi 71000"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Sawang Arom Hospital Uthai Thani Province,15.57789,99.86275,"80 Moo 1 T. Sawang Arom Sawang Arom District, Uthai Thani Province 61150"
8.90E+12,Ministry of Public Health,"Office of the Permanent Secretary, Ministry of Public Health",Aran Kamwaree Health Promoting Hospital Suratthani Province,8.77063,99.20458,"Moo 1, Aran Kamwaree Subdistrict, Khien Sa District, Surat Thani Province 84260"
